Informe, Informe del sistema eléctrico 2022
Título, Potencia instalada a 31.12.2022
Sistema Eléctrico, Nacional
Magnitudes, MW - %

"Potencia","MW","%22/21","MW","%22/21","MW","%22/21"
"Hidráulica",17092.605,0,1.52,0,17094.125,0
"Hidroeólica",,,11.32,0,11.32,0
"Eólica",29416.949,4.946724915880507,576.923,2.414245468408005,29993.872,4.896832647010507
"Solar fotovoltaica",19348.127,29.382232648697993,436.885,31.41651350757875,19785.012,29.426472626726486
"Solar térmica",2304.013,0,,,2304.013,0
"Otras renovables",1087.35,0.03587988518436447,5.8260000000000005,0,1093.176,0.035688597767524755
"Residuos renovables",131.628,0,38.484,0,170.112,0
"Renovables",69380.67200000002,9.089436244839021,1070.9579999999999,12.387450730179772,70451.63,9.13812095675468
"Turbinación bombeo",3331.4,0,,,3331.4,0
"Nuclear",7117.29,0,,,7117.29,0
"Carbón",3223.165,-8.50883853615959,241.2,,3464.365,-7.963603759173788
"Fuel + Gas",7.95,0,2399.96,0,2407.91,0
"Ciclo combinado",24561.845,0,1688.3,,26250.145,0
"Cogeneración",5592.982,-0.2726152142077276,49.723,,5642.705,-0.2702194452662843
"Residuos no renovables",387.179,-4.780888251655735,38.484,0,425.663,-4.3675284147714155
"No Renovables",44221.810999999994,-0.7507108983466071,4417.6669999999995,0,48639.478,-0.6829934769221446
"Total",113602.48300000001,5.035661046531015,5488.624999999999,2.197936425151603,119091.10800000001,4.90141741205159
,
Estado, Información elaborada con datos provisionales a enero del 2023
,
Fecha exportación, 12/09/2023 - 17:28:34
,
Fuente, www.ree.es